,product,number,transactions,wish,review
210,(PS) Nike Dunk Low Light Bone Tropical Twist,28256,37,200,3
211,Nike x Cactus Plant Flea Market Dunk Low Swarovski Pure Platinum,26421,5,177,4
212,(W) Nike Dunk Low Disrupt Copa,28182,38,424,6
213,Nike SB Dunk Low Pro Crater,25985,146,429,6
214,Nike x Diamond Supply Co. SB Dunk Low Black Diamond,25343,73,254,32
215,(W) Nike Dunk Low Disrupt Supa,17511,2,36,0
216,Nike x Off-White Dunk Low The 50 - Lot 48,45313,17,204,2
217,(W) Nike Dunk Low Disrupt University Red,39172,38,179,3
218,Nike x Civilist SB Dunk Low Pro Thermography,24290,22,253,29
219,(TD) Nike Dunk Low Brazil 2020,12198,186,180,17
220,Nike x Medicom Toy SB Zoom Dunk Low Elite BE@RBRICK,45328,26,210,5
221,(W) Nike Dunk Low Bronze Eclipse,41731,11,468,3
222,(TD) Nike Dunk Low Championship Grey,40087,4,29,0
223,(W) Nike Dunk Low Pink Oxford,39157,4,374,1
224,Nike x Off-White Dunk Low The 50 - Lot 33,36234,24,354,11
225,(W) Nike Dunk Low Sunset Pulse,30662,15,110,5
226,(GS) Nike Dunk Low Retro Hyper Cobalt,38373,40,357,4
227,(W) Nike Dunk Low Disrupt Barely Rose,24025,3,115,0
228,(PS) Nike x Sean Cliver SB Dunk Low Holiday Special,15066,76,162,6
229,Nike x Travis Scott SB Dunk Low (Special Box),32044,16,605,39
230,Nike SB Dunk Low Rivals Pack (East),28987,24,242,17
231,Nike x Verdy SB Dunk Low Pro Wasted Youth (Regular Box),25895,22,157,7
232,(PS) Nike Dunk low Retro Hyper Cobalt,25838,28,143,5
233,(W) Nike Dunk Low Retro Firecracker,24820,11,67,1
234,(W) Nike Dunk Low Disrupt Black Gum,17546,249,"1,206",11
235,Nike x Grateful Dead SB Dunk Low Green Bear,12572,10,354,7
236,Nike x Diamond Supply Co. SB Dunk Low White Diamond,8839,16,258,18
237,Nike SB Zoom Dunk Low Pro Skate Camo,8140,22,153,12
238,Nike Dunk Low Flyknit University Red Wolf Grey,42242,20,144,23
239,Nike Dunk SB Low Pink Box,39169,11,259,12
240,(PS) Nike Dunk Low Championship Grey,39162,11,187,0
241,Nike x Off-White Dunk Low The 50 - Lot 38,39155,11,297,9
242,Nike x Off-White Dunk Low The 50 - Lot 31,34103,6,187,5
243,Nike x Stingwater SB Dunk Low Magic Mushroom,30357,5,128,5
244,(PS) Nike Dunk Low Orange Pearl,29013,748,813,37
245,(TD) Nike Dunk low Retro Hyper Cobalt,25778,23,57,5
246,(W) Nike Dunk Low Disrupt Firecracker,23393,19,164,4
247,(PS) Nike x Medicom Toy SB Dunk Low BE@RBRICK,23261,1,11,0
248,Nike SB Dunk Low Infrared (Orange Label),22438,50,276,12
249,Nike SB Dunk Low Raygun Tie-Dye White,22335,11,266,7
250,Nike SB Dunk Low Island Green Gum,20018,15,411,11
251,Nike x Ben-G SB Dunk Low,24110,5,69,2
252,Nike SB Dunk Low Corduroy Dusty Peach,9430,2,169,4
253,Nike x Concepts SB Dunk Low Purple Lobster (Regular Box),36241,12,253,8
254,Nike SB Zoom Dunk Low Pro Reverse Shark,47719,6,206,4
255,Nike Dunk Low Pro SB Shanghai 2,46461,,89,5
256,(W) Nike Dunk Low Disrupt White Metallic Silver,43633,15,317,0
257,(GS) Nike Dunk Low Signal Blue Lemon Twist,39145,,16,0
258,Nike x Familia SB Dunk Low First Avenue,39167,,59,0
259,Nike x Off-White Dunk Low The 50 - Lot 21,39161,17,281,6
260,Nike x Off-White Dunk Low The 50 - Lot 37,39160,1,73,5
261,Nike x Off-White Dunk Low The 50 - Lot 36,39159,7,265,5
262,Nike x Off-White Dunk Low The 50 - Lot 35,39154,6,149,8
263,Nike x Off-White Dunk Low The 50 - Lot 30,39151,17,196,9
264,Nike x Off-White Dunk Low The 50 - Lot 27,39150,,57,1
265,Nike x Off-White Dunk Low The 50 - Lot 26,39139,,9,0
266,Nike x Off-White Dunk Low The 50 - Lot 15,39137,2,59,0
267,Nike x Off-White Dunk Low The 50 - Lot 13,39135,3,80,4
268,Nike x Off-White Dunk Low The 50 - Lot 11,39128,,81,1
269,Nike x Off-White Dunk Low The 50 - Lot 4,39126,2,100,1
270,Nike x Off-White Dunk Low The 50 - Lot 2,38634,2,223,5
271,(W) Nike Dunk Low Disrupt Cactus Flower,36119,12,270,2
272,(TD) Nike Dunk Low Light Bone Tropical Twist,30517,10,44,3
273,(W) Nike Dunk Low Disrupt White Metallic Gold,28433,13,123,0
274,Nike x Sean Cliver SB Dunk Low Holiday Special (Special Box),24807,3,196,13
275,Nike x Ben & Jerry's SB Dunk Low Chunky Dunky (Special Box),23276,4,214,14
276,(TD) Nike SB Dunk Low Raygun Tie-Dye Black,19467,9,33,2
277,Nike SB Dunk Low Orange Label,24787,1,64,2
278,Nike x Staple SB Dunk Low Black Pigeon,5361,33,247,15
279,Nike Dunk SB Low De La Soul 2015,3703,20,108,4
280,Nike SB Dunk Low Premium SB Primitive 112,3401,8,53,10
281,Nike SB Dunk Low MIA Skate Shop,690,1,71,3
282,Nike x Diamond Supply Co. SB Dunk Low Tiffany,680,,224,33
283,(W) Nike Dunk Low Ice,45504,,98,0
284,(GS) Nike Dunk Low Next Nature Riftblue,46614,,27,1
285,Nike x Off-White Dunk Low The 50 - Lot 40,46220,11,223,7
286,Nike x Off-White Dunk Low The 50 - Lot 39,39164,,76,4
287,Nike x Off-White Dunk Low The 50 - Lot 32,39163,1,129,1
288,Nike x Off-White Dunk Low The 50 - Lot 28,39156,11,125,4
289,Nike x Off-White Dunk Low The 50 - Lot 24,39152,1,87,1
290,Nike x Off-White Dunk Low The 50 - Lot 23,39148,,40,1
291,Nike x Off-White Dunk Low The 50 - Lot 22,39147,2,65,0
292,Nike x Off-White Dunk Low The 50 - Lot 14,39146,,57,0
293,Nike x Off-White Dunk Low The 50 - Lot 12,39138,1,122,1
294,Nike x Off-White Dunk Low The 50 - Lot 10,39136,,61,0
295,(W) Nike Dunk Low Green Strike,39134,7,105,5
296,(PS) Nike Dunk Low UNLV,31001,3,62,0
297,(TD) Nike Dunk Low UNLV,29655,8,36,2
298,Nike SB Dunk Low Pro Shadow,29368,36,436,23
299,Nike SB Dunk Low Pro Dark Russet,23594,10,482,35
300,Nike SB Dunk Low Desert Sand Mahogany,21214,,195,3
301,Nike SB Dunk Low Pro Black Pine Green,20958,3,162,11
302,Nike SB Dunk Low Black Washed Coral,20915,18,186,6
303,Nike x Verdy Girls Don't Cry SB Dunk Low,20523,3,92,7
304,Nike x Concepts SB Dunk Low Green Lobster (Special Box),24048,2,102,2
305,Nike x Diamond Supply Co. SB Dunk Low Canary Diamond (Friends & Family),18056,1,69,1
306,Nike x Soulland SB Dunk Low FRI.day Part 02,48,1,26,0
307,Nike Dunk SB Low Eric Koston,12477,,54,1
308,Nike SB Zoom Dunk Low Pro Circuit Orange,24566,4,604,10
309,Nike Dunk Low Flyknit White Wolf Grey,11074,76,324,6
310,Nike SB Zoom Dunk Low Pro Binary Blue,33604,6,349,2
311,Nike SB Dunk Low Wheat,10652,7,122,5
312,Nike Dunk Low Triple White,10315,7,337,4
313,Nike Dunk SB Low Orange Box,24058,6,193,8
314,Nike SB Dunk Low Yin Yang,7853,,90,0
315,Nike SB Dunk Low Bleached Denim,6515,,45,0
316,Nike Dunk SB Low Premier Fish Ladder,6010,,25,1
317,Nike x Concepts SB Dunk Low Grail (Regular Box),5898,6,82,5
318,Nike SB Dunk Low Premium Marty McFly,24495,,69,0
319,Nike Dunk SB Low Sparkle Oil Spill,5377,,29,1
320,(GS) Nike Dunk Low Ueno Panda,24252,1,45,0
321,Nike Dunk SB Low Gulf of Mexico,5204,1,56,1
322,Nike x Quartersnacks SB Dunk Low PRM 2014,4756,6,58,4
323,Nike SB Dunk Low Hackey Sack,24947,1,24,2
324,Nike Dunk Low PRM SB Valentine Day 2014,4157,1,222,4
325,Nike x S.P.O.T. x Lance Mountain Dunk SB Low Black (Special Box),3973,,3,0
326,Nike x S.P.O.T. x Lance Mountain Dunk SB Low Black,46864,4,62,2
327,Nike x Supreme SB Dunk Low Red Cement 2012,25972,1,121,12
328,Nike Dunk SB Low Sunset French Blue,2792,,52,0
329,Nike Dunk Low Black Sport Red,2334,1,7,0
330,Nike Dunk SB Low What the Dunk,29493,,96,9
331,(GS) Nike Dunk Low XOXO,1174,,12,1
332,(W) Nike Dunk Low Premium Birch Green,29351,,40,2
333,Nike SB Dunk Low Premium Puff N Stuff,952,,20,0
334,Nike Dunk Low Beast Pack,905,1,44,3
335,Nike Dunk Low CL Jordan Pack Sydney Olympic,781,,3,0
336,(W) Nike Dunk Low White Metallic Silver,47080,,9,1
337,Nike Dunk SB Low Slam City,29447,,45,1
338,Nike x Stussy Dunk SB Low Cherry,691,2,456,49
339,Nike SB Dunk Low Raygun Home,669,,45,2
340,Nike SB Dunk Low Pro Ostrich,623,1,40,0
341,Nike Dunk Low KicksHawaii Aloha,33658,,26,2
342,Nike Dunk SB Low Tweed,24816,,73,3
343,Nike Dunk SB Low Cali 2004,505,,79,1
344,Nike Dunk Low Syracuse 2004,493,,16,2
345,Nike SB Dunk Low Heineken,481,1,293,12
346,Nike Dunk Low Pro SB Futura,424,,93,2
347,Nike Dunk SB Low Bison,26527,3,100,1
348,Nike SB Dunk Low Reese Forbes Wheat,369,,94,2
349, Nike x Gino Iannucci SB Dunk Low Obsidian Light Graphite,368,,9,0
350,(W) Nike Dunk Low Splatter Myth,366,,18,0
351,Nike Dunk Low Premium Medium Grey Navy,297,,6,0
352,Nike Dunk Low Pro Sport Royal Mesa Orange,286,,19,0
353,(GS) Nike Dunk Low Rave Pink,33656,,13,0
354,(GS) Nike Dunk Low Binary Blue,42122,,4,0
355,Nike Dunk Low Retro Court Purple,36741,,202,0
356,Nike Dunk Low Retro LPL,30595,,29,0
357,Nike Dunk Low Retro PRM Vast Grey,25157,,168,0
358,Nike x Off-White Dunk Low The 50 - Lot 44,47887,1,41,0
359,Nike x Off-White Dunk Low The 50 - Lot 42,47059,,20,2
